CDM project reference number,Unique project identifier (traceable with Google),Registration project title,Type of CDM project: PA/PoA,Project classification,Sectoral scope number(s),Methodologies used at registration,Project type (UNEP DTU),Project subtype (UNEP DTU),DOE,Start of validation,PA:Initial registration request/PoA:First CPA request,PA:Lastest registration request/PoA:Lastest CPA request,"Date of EB decision (see EB59 Annex 12, §25)",Registered or rejected,Simplified project status,Website project status,Type of crediting period,Start of first crediting period,End of first crediting period, Amount Of Reductions (PDD ex-ante) per year in CP1 (PoA based on the sum of curr ,Status of the second CP request,Second crediting period: renew date,Second crediting period: renewed date, Amount Of Reductions (PDD ex-ante) per year in CP2 ,Start of Second crediting period,End of second crediting period,Status of the third CP request,Third crediting period: renew date,Third crediting period: renewed date, Amount Of Reductions (PDD ex-ante) per year in CP3 ,Start of third crediting period,End of third crediting period,List of host countries (ISO 2),UNFCCC region,LDC country,Country Region,SID country,Country subregion,First issuance,Lastest issuance, Total CERs issued , Count of issuances of CER , Count of issuances of CER for KP1 , Total CERs issued for KP1 , Count of issuances of CER for KP2 , Total CERs issued for KP2 , Installed capacity (MW elec/thermal) ,Kind of additional revenue, Total capital investment (USD) , Total O&M costs (USD/year) , Additional revenue (USD) , Estimated IRR benchmark , Estimated IRR excluding CERs , Estimated IRR including CERs ,Issuance (Para 218)/ Registration (Para 219),Last information provided on para. 218 and 219 of the PCP,Date of last information provided on Para. 218 and 219 of the PCP,Number of CPAs per host party (PoA),Amount of reduction per host party (PoA),Crediting type of the CPAs,Chronological number of registered CDM activity by country,Last communication with the Secretariat,Projects which cannot be renewed,Reporting date
4433,J1OFMI38334TJC2LXGM130AAHF3NHC,3 MW Wind power project in Rajasthan,PA,SMALL,1,AMS-I.D. 16.0,Wind,Wind,Bureau Veritas Certification Holding SAS (BVCH),07-10-09,01-02-11,01-02-11,26-04-11,01-02-11,End of crediting period,Registered,Fixed,01-04-11,31-03-21,"5,205",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,3,Sales electricity,"4,393,769","121,694","461,964",14.32,7.36,10.13,,,,,,,IN(639),2011m2,No,10-Oct-24
4436,0JNCOEXPOS93FSVBCFTPXM0JHMP30O,1.5 MW wind power project.,PA,SMALL,1,AMS-I.D. 16.0,Wind,Wind,Lloyd’s Register Quality Assurance Ltd. (LRQA)    ,19-03-10,01-02-11,01-02-11,26-04-11,01-02-11,End of crediting period,Registered,Fixed,01-04-11,31-03-21,"2,544",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,1.5,Sales electricity,"1,819,916","36,473","212,888",12,9.33,12.87,,,,,,,IN(638),2011m2,No,10-Oct-24
4437,7EB0XVBWDIBEXTLUWGGSWMIGFP8AR1,"GREEN ENERGY TO GRID at Dhule, Maharashtra",PA,LARGE,1,ACM0002 12.3.0,Wind,Wind,Bureau Veritas Certification Holding SAS (BVCH),11-05-10,01-02-11,14-03-11,03-06-11,14-03-11,End of crediting period,Registered,Fixed,15-04-11,14-04-21,"37,478",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,12-07-12,23-03-22,"316,109",3,2,"59,558",1,"256,551",20,Sales electricity,"24,306,270","753,494","3,674,343",15.59,12.36,16.08,,,,,,,IN(670),2022m3,No,10-Oct-24
4438,QRKXEVPH47TRS8MT9VVU5XVDKLFHXV,Energy Efficiency Improvement at Tamil Nadu Newsprint and Papers Limited,PA,LARGE,1,ACM0006 10.1,Biomass Energy,Bagasse power,TÜV SÜD South Asia Private Limited (TÜV SÜD),23-04-08,01-02-11,03-05-11,21-07-11,03-05-11,End of crediting period,Registered,Fixed,03-05-11,02-05-21,"132,632",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,16,None,"15,325,082",,,,,,,,,,,,IN(694),2011m5,No,10-Oct-24
4450,YNA4JVJNDBF30BJM9ELZLGS0CIR6Y2,Grid connected renewable energy project in India,PA,LARGE,1,ACM0002 12.3.0,Wind,Wind,SGS United Kingdom Limited (SGS),04-11-08,15-02-11,15-02-11,11-05-11,17-02-11,End of crediting period,Registered,Fixed,01-05-11,30-04-21,"29,369",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,27-02-15,27-02-15,"29,174",1,1,"29,174",, -   ,16,None,,,,14.81,,,,,,,,,IN(658),2015m2,No,10-Oct-24
4458,I747D27Q7LS2DNVMDQUDDUO6FXXIF9,CPPL Wind Energy Project,PA,SMALL,1,AMS-I.D. 15.0,Wind,Wind,RWTÜV GmbH,11-02-09,07-02-11,07-02-11,12-05-11,11-02-11,End of crediting period,Registered,Fixed,01-04-11,31-03-21,"20,253",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,7.5,Sales electricity,"11,897,022","262,538","1,491,198",11.5,10.34,12.98,Issuance Process,Corrective actions without response,13-04-23,,,,IN(653),2023m4,No,10-Oct-24
4463,B0HZXF5XRHA0LZGP3DHW7QHPDSSA61,"Metro Delhi, India",PA,LARGE,7,ACM0016 4.0,Transport,Mode shift: road to rail,Swiss Association for Quality and Management Systems,08-05-10,16-02-11,30-06-11,09-09-11,30-06-11,Registered with issuances,Registered,Renewable,30-06-11,29-06-18,"529,043",Renewed,02-01-20,02-01-20,"516,307.00",30-06-18,29-06-25,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,03-01-13,19-05-23,"4,186,045",5,2,"343,669",4,"3,842,376",,Sales other,"2,195,933,537","25,229,558","83,340,624",73,,,Registration Process,Operating under CDM,01-07-18,,,,IN(721),2023m5,No,10-Oct-24
4464,IZ5BL7AGPHWS6C08TSFXLWBKOTLGX5,"10 MW Biomass Power Project in Amreli District, Gujarat, India",PA,SMALL,1,AMS-I.D. 15.0,Biomass Energy,Agricultural residues: other kinds,RWTÜV GmbH,10-02-09,08-02-11,08-02-11,24-08-11,25-05-11,End of crediting period,Registered,Renewable,25-05-11,24-05-18,"50,203",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,10,None,"10,670,000",,,13.63,9,17.93,Issuance Process,Corrective actions without response,21-12-17,,,,IN(707),2017m12,Yes,10-Oct-24
4465,GM4S4DDZ7JYNRFZWP5FV01468XZY0D,"Installation of 12 TPH biomass based thermal energy generation unit at Dalkhola, West Bengal",PA,SMALL,1,AMS-I.C. 16.0,Biomass Energy,Agricultural residues: rice husk,SGS United Kingdom Limited (SGS),21-07-09,08-02-11,08-02-11,03-05-11,11-02-11,End of crediting period,Registered,Fixed,02-04-11,01-04-21,"28,117",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,29-07-15,29-07-15,"21,622",1,1,"21,622",, -   ,,None,"4,500,418","2,305",,,,,,,,,,,IN(652),2015m7,No,10-Oct-24
4470,3NNG09BA8X7G25VH8FUSQT4FOZYM92,"9.6 MW Wind Energy Project at Jamvadi & Navagam & Kalavad, Jamnagar, Gujarat, India of Rohit Surfactants Pvt. Ltd.",PA,SMALL,1,AMS-I.D. 16.0,Wind,Wind,SIRIM QAS INTERNATIONAL SDN.BHD (SIRIM),11-12-09,09-02-11,01-06-11,16-11-11,08-09-11,End of crediting period,Registered,Fixed,08-09-11,07-09-21,"17,983",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,12-05-15,11-08-22,"128,766",3,1,"18,758",2,"110,008",9.6,Sales electricity,"12,769,076","359,590","1,588,427",13.49,11.44,,,,,,,,IN(747),2022m8,No,10-Oct-24
4472,W18DWQ7STC2YCPKFRCGLK6KHTB6AWC,"7.5 MW Grid connected renewable electricity generation in Tiruvannamalai District, India",PA,SMALL,1,AMS-I.D. 16.0,Biomass Energy,Agricultural residues: other kinds,Det Norske Veritas- CUK,16-12-09,09-02-11,03-08-11,22-02-12,07-11-11,End of crediting period,Registered,Renewable,07-11-11,06-11-18,"40,141",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,7.5,Sales electricity,"8,993,629","6,498,175","7,321,829",13,9.44,15.22,,,,,,,IN(779),2011m11,Yes,10-Oct-24
4473,4SAG11BUKKWJFPB14IT749FDPZ4YQ2,Biomass based steam generation for dyeing and/or bleaching unit at Exodus Knitwear Pvt. Ltd,PA,SMALL,1,AMS-I.C. 16.0,Biomass Energy,Agricultural residues: rice husk,SGS United Kingdom Limited (SGS),24-09-08,09-02-11,09-02-11,02-05-11,09-02-11,End of crediting period,Registered,Fixed,01-04-11,31-03-21,"10,252",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,,None,,,,,,,,,,,,,IN(648),2011m2,No,10-Oct-24
4475,P10PKVK2K9772M41RL1R81MRJJ0J5D,9.9 MW Bundled Wind Power Project in Maharashtra by REI Agro Limited,PA,SMALL,1,AMS-I.D. 16.0,Wind,Wind,Bureau Veritas Certification Holding SAS (BVCH),21-08-10,09-02-11,14-05-11,21-07-11,14-05-11,End of crediting period,Registered,Fixed,14-05-11,13-05-21,"17,096",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,02-08-13,02-08-13,"14,017",1,1,"14,017",, -   ,9.9,None,"11,314,534",,,15.9,1.27,,,,,,,,IN(701),2013m8,No,10-Oct-24
4477,EZRXPAEIR35C1ONCUWRD7OD805LYZN,"Biomass based Steam Generation at Machhar Polymer Pvt. Limited, Dist-Baroda, (Gujarat), India",PA,SMALL,1,AMS-I.C. 19.0,Biomass Energy,Agricultural residues: other kinds,SGS United Kingdom Limited (SGS),10-06-08,10-02-11,28-06-12,13-09-12,28-06-12,End of crediting period,Registered,Fixed,01-01-13,31-12-22,"7,697",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,,None,,,,,,,,,,,,,IN(896),2012m6,No,10-Oct-24
4478,5PSUAXL0K3TOHZ7AO3DMCH0T6ZAT7U,Improved Cook Stoves CDM project of JSMBT,PA,SMALL,3,AMS-II.G. 2.0,EE households,Stoves,Perry Johnson Registrars Carbon Emissions Services (PJRCES)    ,30-06-10,14-02-11,05-04-11,27-06-11,05-04-11,End of crediting period,Registered,Fixed,31-05-12,30-05-22,"42,637",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,14-07-14,13-09-18,"149,375",3,1,"7,905",3,"141,470",,None,,,,,,,,,,,,,IN(680),2018m9,No,10-Oct-24
4481,WMYD1RPZPIL30BOG8LCB4QI0VOYTYM,"6.15 MW wind power project in Rajasthan, India",PA,SMALL,1,AMS-I.D. 15.0,Wind,Wind,SGS United Kingdom Limited (SGS),25-10-08,10-02-11,10-02-11,09-05-11,10-02-11,End of crediting period,Registered,Fixed,01-05-11,30-04-21,"10,205",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,25-10-13,25-10-13,"13,079",1,1,"13,079",, -   ,6.15,Sales electricity,"8,355,522","215,333","1,066,374",13.66,9.84,13.73,,,,,,,IN(650),2013m10,No,10-Oct-24
4483,OV15WAFABLPTFC3BH1ONOO2I2S60O8,“Grid Connected Wind Power Project in Tamilnadu.”by Karur Textile Park Limited,PA,SMALL,1,AMS-I.D. 15.0,Wind,Wind,RWTÜV GmbH,07-02-09,10-02-11,10-02-11,09-05-11,10-02-11,End of crediting period,Registered,Fixed,10-02-11,09-02-21,"9,640",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,20-11-12,20-11-12,"8,513",1,1,"8,513",, -   ,5,Sales electricity,"5,961,120","198,621","784,432",12.5,9.37,13.85,,,,,,,IN(649),2012m11,No,10-Oct-24
4484,7FKM7NT6TB7D910V1DQE0NDGEYZOTW,Wind Power Project of SSGP,PA,SMALL,1,AMS-I.D. 15.0,Wind,Wind,RWTÜV GmbH,20-02-09,10-02-11,10-02-11,09-05-11,10-02-11,End of crediting period,Registered,Fixed,01-04-11,31-03-21,"11,496",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,4.65,None,"7,353,884",,,12.75,8.53,,,,,,,,IN(651),2011m2,No,10-Oct-24
4485,3S7I6QFEY3LPMO3L2BEVRHD0R0D5RG,Renewable Energy Based Power Generation,PA,SMALL,1,AMS-I.D. 15.0,Wind,Wind,RWTÜV GmbH,15-08-08,10-02-11,10-02-11,10-05-11,17-02-11,End of crediting period,Registered,Fixed,17-02-11,16-02-21,"18,926",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,8.1,Sales electricity,"11,649,781","261,524","1,458,030",12.75,8.72,13,,,,,,,IN(657),2011m2,No,10-Oct-24
4486,XGOYW2DXE1FL8J8NK6SJBW7XK8C9F5,Grid Connected Wind Power Project by Madurai Integrated Textile Park Limited,PA,SMALL,1,AMS-I.D. 16.0,Wind,Wind,RWTÜV GmbH,01-05-09,10-02-11,02-06-11,31-08-11,02-06-11,End of crediting period,Registered,Fixed,02-06-11,01-06-21,"9,640",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,20-03-13,20-03-13,"8,866",1,1,"8,866",, -   ,5,Sales electricity,"5,951,063","182,260","805,747",12.25,10.48,14.87,,,,,,,IN(711),2013m3,No,10-Oct-24
4487,NDGRFWYDV2RSMEVKHK5GX0LSAZDCRS,9 MW wind power project of M/s. L.S.Mills Limited in Tamilnadu,PA,SMALL,1,AMS-I.D. 15.0,Wind,Wind,RWTÜV GmbH,08-09-09,10-02-11,10-02-11,12-05-11,18-02-11,End of crediting period,Registered,Fixed,08-03-11,07-03-21,"18,538",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,06-11-12,01-06-23,"109,079",2,1,"19,346",1,"89,733",9,Sales electricity,"12,122,042","235,529","1,460,890",11.49,9.21,13.25,,,,,,,IN(659),2023m6,No,10-Oct-24
4488,TDYTM758RGKPAWQ00EDJ7EZ2R1RL9D,"Biomass based power generation plant at village Channu, Punjab",PA,SMALL,1,AMS-I.D. 15.0,Biomass Energy,Agricultural residues: other kinds,RWTÜV GmbH,10-03-10,10-02-11,10-02-11,10-05-11,22-02-11,End of crediting period,Registered,Fixed,13-03-12,12-03-22,"74,891",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,14.5,None,"16,830,000",,,12.75,7.88,12.42,Issuance Process,Corrective actions without response,30-07-22,,,,IN(660),2024m1,No,10-Oct-24
4489,F6ZN80DB7P54X8C08ULXMYG40PRDYK,Wind Energy Project in Maharashtra by M/s Shah Promoters & Developers,PA,SMALL,1,AMS-I.D. 16.0,Wind,Wind,RWTÜV GmbH,22-04-09,14-02-11,14-02-11,10-05-11,14-02-11,End of crediting period,Registered,Fixed,01-03-11,28-02-21,"11,416",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,18-04-13,10-05-22,"112,121",6,2,"25,516",5,"86,605",7.2,Sales electricity,"9,971,979","164,908","1,130,304",13,11.14,,Issuance Process,Corrective actions without response,10-06-15,,,,IN(654),2022m5,No,10-Oct-24
4497,PU1QNB8DH3YYAHNDVT1GBUYBOXHA47,Wind Energy Project in Tamilnadu by M/s Advik Hi-tech Pvt. Ltd.,PA,SMALL,1,AMS-I.D. 16.0,Wind,Wind,RINA Services S.p.A. (RINA),29-07-09,15-02-11,28-03-11,20-06-11,28-03-11,End of crediting period,Registered,Fixed,28-03-11,27-03-21,"2,016",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,1.2,Sales electricity,"1,597,407","27,781","187,985",15.27,6.57,14.12,,,,,,,IN(677),2011m3,No,10-Oct-24
4518,MEF2VNUN4O13COH8U85BIN0LKE8ISG,Electricity generation using renewable wind energy by Nakoda Limited,PA,SMALL,1,AMS-I.D. 16.0,Wind,Wind,Perry Johnson Registrars Carbon Emissions Services (PJRCES)    ,14-10-10,21-12-11,21-12-11,16-03-12,21-12-11,End of crediting period,Registered,Fixed,01-01-12,31-12-21,"13,602",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,6.75,None,"10,303,688",,,14.4,6.15,,,,,,,,IN(796),2021m11,No,10-Oct-24
4531,18OZONIVT66PIKEQ6APYNE8RHCUCMX,Improving Rural Livelihoods Through Carbon Sequestration By Adopting Environment Friendly Technology based Agroforestry Practices,PA,LARGE,14,AR-AM0004 3.0,Reforestation,Agroforestry,TÜV SÜD South Asia Private Limited (TÜV SÜD),28-03-09,28-02-11,28-02-11,06-06-11,28-02-11,Registered with issuances,Registered,Fixed,25-06-04,24-06-34,"4,896",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,27-12-12,18-03-20,"142,567",2,2,"92,086",1,"50,481",,None,,,,,,,,,,,,,IN(663),2020m7,No,10-Oct-24
4532,TZJE1XIU9LQECMET6IASXWSK1FX1RO,Biomass based power project of Rayapati Power Generation Private Limited,PA,SMALL,1,AMS-I.D. 16.0,Biomass Energy,Agricultural residues: rice husk,SGS United Kingdom Limited (SGS),20-02-08,03-03-11,12-04-11,04-07-11,12-04-11,End of crediting period,Registered,Fixed,01-05-11,30-04-21,"27,979",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,7.5,None,"6,239,735",,,,,,,,,,,,IN(684),2015m2,No,10-Oct-24
4533,LPO4J94DXL2LNO8XQDHFU4QKRAFEXX,Greenhouse Gas Emission Reductions Through Super Critical Technology - Coastal Andhra Power Ltd,PA,LARGE,1,ACM0013 3.0,EE supply side,Higher efficiency coal power,RWTÜV GmbH,05-05-10,01-03-11,11-04-11,04-07-11,11-04-11,End of crediting period,Registered,Fixed,30-09-13,29-09-23,"1,234,697",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,"3,960.00",Sales electricity,"3,943,653,556","1,359,862,122","1,703,908,608",12.75,10.12,,,,,,,,IN(683),2011m4,No,10-Oct-24
4540,AB7TO0OZGUKE6HYPB4TWCP5536AGVF,"19.8MW grid connected Wind farm project by K.P.R Mill Private Limited, Tamil Nadu, India at Villages: Keelaveeranam, Kuruchampatti, Vadi, Ayansurandi, Rajagopalaperi, District: Tirunelveli, Tamilnadu by M/s K. P. R. Mill Private Limited",PA,LARGE,1,ACM0002 12.3.0,Wind,Wind,SIRIM QAS INTERNATIONAL SDN.BHD (SIRIM),19-11-09,22-03-11,22-03-11,30-09-11,14-07-11,End of crediting period,Registered,Fixed,14-07-11,13-07-21,"44,499",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,03-01-13,03-01-13,"21,395",1,1,"21,395",, -   ,19.8,Sales electricity,"29,237,240","489,940","3,225,873",13.97,10.29,14.12,,,,,,,IN(727),2024m4,No,10-Oct-24
4541,ROQ13LBU1V4M7MRB7WO41481MTGXOI,Wind Power Project by ILC Industries Limited,PA,SMALL,1,AMS-I.D. 16.0,Wind,Wind,SGS United Kingdom Limited (SGS),21-01-09,09-03-11,09-03-11,30-05-11,09-03-11,End of crediting period,Registered,Fixed,01-05-11,30-04-21,"6,456",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,3,Sales electricity,"4,933,586","95,767","599,054",13.99,8.42,10.46,,,,,,,IN(669),2011m3,No,10-Oct-24
4543,BNOI43Z8ZEH965H2RX5EI7DRHC772H,"15 MW bundled grid connected renewable energy project in Maharashtra, India",PA,SMALL,1,AMS-I.D. 16.0,Wind,Wind,SGS United Kingdom Limited (SGS),26-03-08,10-03-11,10-03-11,01-06-11,14-03-11,End of crediting period,Registered,Fixed,01-05-11,30-04-21,"21,627",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,15,None,"18,846,242","367,732",,15.59,6.34,,,,,,,,IN(671),2011m3,No,10-Oct-24
4567,E918W0PUMX28IRF0U41KWF0L81D8YT,Methane Recovery from waste water treatment in Seafood industry in Maharashtra,PA,SMALL,1; 13,AMS-I.C. 19.0,Methane avoidance,Waste water,SGS United Kingdom Limited (SGS),23-05-08,11-03-11,30-09-11,28-12-11,30-09-11,End of crediting period,Registered,Fixed,01-11-11,31-10-21,"13,521",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,,None,"1,193,782",,,,7.84,21.72,Issuance Process,The verification contract has been terminated,27-02-15,,,,IN(763),2015m2,No,10-Oct-24
4568,TGJOYXTSGMJN3SP4KLW8VCT0RV7DSM,Hydro electric power project by SJVNL in Himachal Pradesh,PA,LARGE,1,ACM0002 12.3.0,Hydro,Run of river,Bureau Veritas Certification Holding SAS (BVCH),23-05-09,11-03-11,11-03-11,29-09-11,14-07-11,End of crediting period,Registered,Fixed,13-05-14,12-05-24,"1,407,658",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,29-03-16,29-03-16,"865,718",1,, -   ,1,"865,718",412,None,"463,533,269",,,12,10.14,12.47,Issuance Process,The verification contract has been terminated,04-01-18,,,,IN(726),2022m10,No,10-Oct-24
4572,394W0HNHUAIJ9U963JVQV8WO1HEQVH,Wind power project at Theni by Powerica Limited,PA,SMALL,1,AMS-I.D. 16.0,Wind,Wind,Lloyd’s Register Quality Assurance Ltd. (LRQA)    ,03-09-10,14-03-11,14-03-11,09-06-11,17-03-11,Registered with issuances,Registered,Renewable,01-05-11,30-04-18,"22,798",Renewed,06-02-20,06-02-20,"22,612.00",01-05-18,30-04-25,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,17-08-12,29-05-13,"39,722",2,2,"39,722",, -   ,9.9,Sales electricity,"14,062,843","588,321","1,910,146",14.34,9.01,,,,,,,,IN(674),2020m2,No,10-Oct-24
4575,0GNOV9IFKFHTMMP0UEDIMB9TUJ211A,"6.0 MW wind energy project in Karnataka, India",PA,SMALL,1,AMS-I.D. 16.0,Wind,Wind,SGS United Kingdom Limited (SGS),29-08-08,16-03-11,21-06-11,12-09-11,21-06-11,End of crediting period,Registered,Fixed,21-06-11,20-06-21,"14,765",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,05-09-13,09-11-23,"107,203",3,2,"20,612",2,"86,591",6,Sales electricity,"9,869,233","326,943","1,335,505",12.75,9.38,14.75,,,,,,,IN(719),2023m11,No,10-Oct-24
4576,H7AZH0CYJF1GD8M45SDKLFZ3WV22LZ,Vanala Small Scale Hydropower Project,PA,SMALL,1,AMS-I.D. 16.0,Hydro,Run of river,SGS United Kingdom Limited (SGS),13-01-09,16-03-11,16-03-11,20-06-11,29-03-11,End of crediting period,Registered,Fixed,01-06-11,30-05-21,"45,515",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,18-04-13,22-09-22,"323,247",2,2,"52,284",1,"270,963",15,Sales electricity,"16,729,594","829,770","2,775,043",12.9,10.41,15.98,,,,,,,IN(678),2022m9,No,10-Oct-24
4578,R01Z1KZJ4OCWUOYTK0KE0BCFT9JYIM,KS Oils Wind Power Project in Tamil Nadu,PA,SMALL,1,AMS-I.D. 16.0,Wind,Wind,SGS United Kingdom Limited (SGS),08-01-09,16-03-11,16-03-11,24-06-11,05-04-11,End of crediting period,Registered,Fixed,01-06-11,31-05-21,"26,088",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,12,Sales electricity,"16,899,975","391,223","2,077,312",14.77,13.47,16.21,,,,,,,IN(679),2011m4,No,10-Oct-24
4585,MRSZEJRVVC7YZWWCRQGTKS3ALLBKS8,India-FaL-G Brick and Blocks Project No.2.,PA,SMALL,4,AMS-III.Z. 3.0,EE Industry,Building materials,Det Norske Veritas- CUK,25-11-09,21-03-11,21-03-11,01-09-11,20-06-11,End of crediting period,Registered,Fixed,01-08-11,31-07-21,"11,294",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,23-05-14,23-05-14,"15,727",1,1,"13,403",1,"2,324",,None,,,,,,,,,,,,,IN(717),2020m7,No,10-Oct-24
4608,DPVZYK4APFOTB5OMKLYSZ6TDJBPNYM,Dalmia Chini Mills Nigohi Project,PA,LARGE,1,ACM0006 10.1,Biomass Energy,Bagasse power,Det Norske Veritas- CUK,01-07-08,07-04-11,07-04-11,01-07-11,08-04-11,End of crediting period,Registered,Fixed,08-04-11,07-04-21,"32,795",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,27,Sales electricity and savings other,"24,423,921","1,451,758","6,820,058",20,12.25,,Issuance Process,Corrective actions without response,30-06-22,,,,IN(682),2023m11,No,10-Oct-24
4615,QV6QJ0ZVTVJY7Y68H6G0VKO6J0E1W6,"5 MW Solar PV Power Project in Sivagangai Village, Sivaganga District, Tamil Nadu",PA,SMALL,1,AMS-I.D. 16.0,Solar,Solar PV,TÜV Rheinland (China) Ltd. (TÜV Rheinland),19-03-10,29-03-11,16-05-11,25-07-11,16-05-11,End of crediting period,Registered,Renewable,16-05-11,15-05-18,"7,862",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,5,Sales electricity,"20,817,441","154,515","805,461",12.75,10.84,,,,,,,,IN(702),2011m5,Yes,10-Oct-24
4617,FUIV4LLZ88IJ0RIX7J8GC5JX4OVE0P,6 MW biomass based grid connected power generation by M/s Armstrong Energy Pvt. Ltd at Nashik,PA,SMALL,1,AMS-I.D. 16.0,Biomass Energy,Bagasse power,RINA Services S.p.A. (RINA),13-12-08,28-03-11,28-03-11,13-07-11,18-04-11,End of crediting period,Registered,Fixed,18-04-11,17-04-21,"24,227",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,6,None,"6,669,543",,,10.25,5.92,14.66,,,,,,,IN(686),2011m4,No,10-Oct-24
4629,P9G37AMXPS6H6C5M1WUXBFQR5T20PH,Greenhouse Gas Emission Reductions Through Super Critical Technology - Jharkhand Integrated Power Ltd.,PA,LARGE,1,ACM0013 3.0,EE supply side,Higher efficiency coal power,TÜV Rheinland (China) Ltd. (TÜV Rheinland),18-05-10,31-03-11,31-03-11,30-09-11,22-07-11,Registered,Registered,Fixed,24-11-14,23-11-24,"2,139,925",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,"3,960.00",Sales electricity,"4,235,924,821","611,331,455","1,058,121,280",13.25,12.09,,,,,,,,IN(735),2011m7,No,10-Oct-24
