CDM project reference number,Unique project identifier (traceable with Google),Registration project title,Type of CDM project: PA/PoA,Project classification,Sectoral scope number(s),Methodologies used at registration,Project type (UNEP DTU),Project subtype (UNEP DTU),DOE,Start of validation,PA:Initial registration request/PoA:First CPA request,PA:Lastest registration request/PoA:Lastest CPA request,"Date of EB decision (see EB59 Annex 12, §25)",Registered or rejected,Simplified project status,Website project status,Type of crediting period,Start of first crediting period,End of first crediting period, Amount Of Reductions (PDD ex-ante) per year in CP1 (PoA based on the sum of curr ,Status of the second CP request,Second crediting period: renew date,Second crediting period: renewed date, Amount Of Reductions (PDD ex-ante) per year in CP2 ,Start of Second crediting period,End of second crediting period,Status of the third CP request,Third crediting period: renew date,Third crediting period: renewed date, Amount Of Reductions (PDD ex-ante) per year in CP3 ,Start of third crediting period,End of third crediting period,List of host countries (ISO 2),UNFCCC region,LDC country,Country Region,SID country,Country subregion,First issuance,Lastest issuance, Total CERs issued , Count of issuances of CER , Count of issuances of CER for KP1 , Total CERs issued for KP1 , Count of issuances of CER for KP2 , Total CERs issued for KP2 , Installed capacity (MW elec/thermal) ,Kind of additional revenue, Total capital investment (USD) , Total O&M costs (USD/year) , Additional revenue (USD) , Estimated IRR benchmark , Estimated IRR excluding CERs , Estimated IRR including CERs ,Issuance (Para 218)/ Registration (Para 219),Last information provided on para. 218 and 219 of the PCP,Date of last information provided on Para. 218 and 219 of the PCP,Number of CPAs per host party (PoA),Amount of reduction per host party (PoA),Crediting type of the CPAs,Chronological number of registered CDM activity by country,Last communication with the Secretariat,Projects which cannot be renewed,Reporting date
127,5CPNXZVPCZXPGQT8O1PGCXY9V18QR7,RSCL cogeneration expansion project,PA,LARGE,1,AM0015 1.0,Biomass Energy,Bagasse power,Det Norske Veritas- CUK,09-09-05,14-11-05,14-11-05,15-01-06,15-01-06,End of crediting period,Registered,Fixed,01-10-05,30-09-15,"80,157",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,20-02-07,07-10-16,"813,898",11,10,"615,525",2,"198,373",22,None,,,,12.6,11.9,14.5,,,,,,,IN(20),2016m10,No,10-Oct-24
183,CQH21ST3FVB77R5W4KSCO6H0BUA87E,"“Optimal Utilization of Clinker” project at Shree Cement Limited (SCL), Beawar, Rajasthan",PA,LARGE,4,ACM0005 1.0,Cement,Clinker replacement,SGS United Kingdom Limited (SGS),19-10-05,16-12-05,16-12-05,20-02-06,20-02-06,End of crediting period,Registered,Fixed,01-08-00,31-07-10,"68,014",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,28-12-06,06-11-08,"450,056",3,3,"450,056",, -   ,,None,,,,,,,,,,,,,IN(25),2008m11,No,10-Oct-24
186,JUF9XT1247Q22FSS9QD1FBVGGQGQ7E,Rice Husk Based Power Project,PA,SMALL,1,AMS-I.D. 7.0,Biomass Energy,Agricultural residues: rice husk,SGS United Kingdom Limited (SGS),31-05-05,30-12-05,30-12-05,09-02-06,09-02-06,End of crediting period,Registered,Fixed,01-04-02,31-03-12,"21,076",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,09-06-08,12-12-12,"176,271",6,6,"176,271",, -   ,7.7,None,"5,839,927",,,,,,,,,,,,IN(22),2014m9,No,10-Oct-24
189,LZB9PSJVE0TU115EK6KX8MJVE5W8XX,Grid connected bagasse based cogeneration project of Ugar Sugar Works Limited (USWL).,PA,LARGE,1,AM0015 1.0,Biomass Energy,Bagasse power,Bureau Veritas Certification Holding SAS (BVCH),30-08-05,23-12-05,23-12-05,06-03-06,06-03-06,End of crediting period,Registered,Fixed,01-01-04,31-12-13,"63,934",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,15-05-06,01-06-07,"94,783",2,2,"94,783",, -   ,16,None,"5,566,634",,,,,,Issuance Process,The verification contract has been terminated,19-11-14,,,,IN(28),2015m2,No,10-Oct-24
195,ZAUNUVBYMV9LYINGLP4BZEAZNLX8BV,"Rice Husk based Cogeneration project at Shree Bhawani Paper Mills Limited (SBPML), Rae Bareli, Uttar Pradesh, India",PA,SMALL,1,AMS-I.D. 6.0,Biomass Energy,Agricultural residues: rice husk,TÜV SÜD South Asia Private Limited (TÜV SÜD),15-10-05,22-12-05,22-12-05,03-02-06,03-02-06,End of crediting period,Registered,Fixed,01-12-01,30-11-11,"14,744",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,19-05-06,18-04-13,"118,315",5,5,"118,315",, -   ,3,None,,,,,,,,,,,,,IN(21),2013m4,No,10-Oct-24
227,POS3OZE050R88U94MRG497BCAVSPJK,"6MW Somanamaradi grid connected SHP in Karnataka, India",PA,SMALL,1,AMS-I.D. 7.0,Hydro,Run of river,Det Norske Veritas- CUK,27-11-04,02-01-06,02-01-06,11-02-06,11-02-06,End of crediting period,Registered,Renewable,15-02-06,14-02-13,"16,977",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,01-02-08,01-12-10,"97,549",4,4,"97,549",, -   ,6,None,"7,399,374",,,,,,Issuance Process,The verification contract has been terminated,13-10-14,,,,IN(23),2022m7,Yes,10-Oct-24
237,TQOCLYAG6I38HLU454BG5AKTHT4RZO,"3.75 MW Small Scale Grid Connected “Demonstration Wind Farm Project” at Chalkewadi, District Satara, State Mahararashtra, India.",PA,SMALL,1,AMS-I.D. 7.0,Wind,Wind,Bureau Veritas Certification Holding SAS (BVCH),08-11-05,07-01-06,07-01-06,25-02-06,25-02-06,End of crediting period,Registered,Fixed,30-09-04,29-09-14,"6,890",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,02-10-06,30-06-08,"13,225",2,2,"13,225",, -   ,3.75,None,"3,111,740",,,,,,,,,,,,IN(26),2008m6,No,10-Oct-24
243,Z4COPZJ6ELRHG0PR1MZZ86OXKTQLNT,"14.8 MW small-scale grid connected wind power project in Jaisalmer state Rajasthan, India by RSMML",PA,SMALL,1,AMS-I.D. 7.0,Wind,Wind,Bureau Veritas Certification Holding SAS (BVCH),08-11-05,04-02-06,04-02-06,14-04-06,14-04-06,End of crediting period,Registered,Fixed,01-08-01,31-07-11,"13,352",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,11-09-06,19-09-12,"143,524",4,4,"143,524",, -   ,14.8,None,"18,076,644",,,,,,,,,,,,IN(34),2012m9,No,10-Oct-24
244,D2AB2CPOHNRB4WEJ5Z52YPQR3IWA6W,"Aleo Manali 3 MW Small Hydroelectric Project, Himachal Pradesh, India",PA,SMALL,1,AMS-I.D. 7.0,Hydro,Run of river,Bureau Veritas Certification Holding SAS (BVCH),04-10-05,18-01-06,18-01-06,14-04-06,14-04-06,Registered with issuances,Registered,Renewable,01-09-05,31-08-12,"13,614",Renewed,10-10-13,10-10-13,"10,957.00",01-09-12,31-08-19,Renewed,28-11-19,28-11-19,"10,955.00",01-09-19,31-08-26,IN,"ASP,NAI",No,Asia,No,Southern Asia,15-12-06,27-10-22,"239,366",7,5,"137,749",2,"101,617",3,None,"3,174,471",,,,,,Issuance Process,Waiting for clarification,26-06-20,,,,IN(31),2022m10,No,10-Oct-24
253,3H3GM4FEJGU9MPI0WJY8FXO6SR19QT,Rithwik 6 MW Renewable Sources Biomass Power Project,PA,SMALL,1,AMS-I.D. 7.0,Biomass Energy,Agricultural residues: other kinds,TÜV Rheinland (China) Ltd. (TÜV Rheinland),28-06-05,20-01-06,20-01-06,02-03-06,02-03-06,End of crediting period,Registered,Renewable,18-09-02,17-09-09,"13,370",Renewed,03-10-10,04-10-10,"26,614.00",18-09-09,17-09-16,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,24-08-06,15-10-12,"154,721",7,7,"154,721",, -   ,6,None,,,,,,,,,,,,,IN(27),2012m10,Yes,10-Oct-24
