ID,Name,Proponent,Project Type,AFOLU Activities,Methodology,Status,Country/Area,Estimated Annual Emission Reductions,Region,Project Registration Date,Crediting Period Start Date,Crediting Period End Date
1479,Wind Power Project of CLP Wind Farms (India) Private Limited at Jath,Apraava Renewable Energy Private Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"97,400",Asia,2020-04-06,,
1480,"Wind power project in Maharashtra, India - Andhra Lake Phase - I",Apraava Renewable Energy Private Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"82,885",Asia,2020-04-06,2021-08-19,2031-08-18
1481,"Wind power project in Maharashtra, India - Andhra Lake Phase - II",Apraava Renewable Energy Private Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"113,226",Asia,2020-04-06,,
1482,"Wind Energy Project in Harapanahalli, Karnataka",Apraava Renewable Energy Private Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"75,597",Asia,2015-09-07,2021-01-21,2031-01-20
1413,Grid Interactive Solar Photovoltaic Power Project in Gujarat,Samta Energy Private Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"41,034",Asia,2015-08-03,,
1261,Grid connected electricity generation using natural gas by Lanco Kondapalli Power Limited,Lanco Kondapalli Power Limited,Energy industries (renewable/non-renewable sources),,AM0029,Registered,India,"830,133",Asia,2020-04-06,,
281,Bundled Wind Power Project in Tamil Nadu managed by Enercon India Limited-I,Enercon (India) Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"29,342",Asia,2020-04-06,,
1463,India Sundarbans Mangrove Restoration,Livelihoods Fund SICAV SIF,Agriculture Forestry and Other Land Use,ARR,AR-AM0014,Registered,India,"51,249",Asia,2020-04-06,2010-09-28,2030-09-27
1081,"Clean Energy Generation in Gujarat, India",Wind World Wind Resources Development Private Limited,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,"23,436",Asia,2020-04-06,,
500,"Positive Climate Care 3.55 MW bundled Grid connected Wind Power Project Activity in Jaisalmer, Rajasthan, India",Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,"3,120",Asia,2010-10-08,,
1447,199.70 MW Wind Project in Maharashtra by BWDPL,Bothe Windfarm Development Pvt. Ltd.,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"138,354",Asia,2020-04-06,,
1441,"Bundled clean energy project in jamnagar, Gujarat",Vish Wind Infrastructure LLP,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,"25,641",Asia,2020-04-06,,
784,1.6 MW Bundled Rice Husk Based Cogeneration Plant by M/s Milk food Limited (MFL) in Patiala (Punjab) & Moradabad (U.P) Districts,Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS-I.C.; AMS-I.D.,Registered,India,"65,258",Asia,2020-04-06,,
1404,"Vaspet-II and Vaspet-III Wind Power Project, Maharashtra",ReNew Wind Energy (Shivpur) Private Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"85,105",Asia,2020-04-06,2023-04-03,2033-04-02
1257,Wind Power Project of CLP Wind Farms (India) Private Limited,Apraava Renewable Energy Private Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"365,404",,2020-04-06,2022-03-22,2032-03-21
