ID,Name,Proponent,Project Type,AFOLU Activities,Methodology,Status,Country/Area,Estimated Annual Emission Reductions,Region,Project Registration Date,Crediting Period Start Date,Crediting Period End Date,Total_Actual_VCUs_Issued,Actual_Issuance_Start_Date,Actual_Issuance_End_Date,t_actual_days,t_actual_years,Total_Estimated_ERs_Actual_Period,q_quotient,log_q_success_indicator,Regime,Technology_Category,Tech_Biomass and Waste,Tech_Energy Efficiency,Tech_Other Renewable,Scale_Category,Scale_Large,Is_International
1891,Kishanganga Hydroelectric Project,NHPC Ltd,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,1563247,Asia,09-07-19,13-03-18,12-03-28,685478,01-01-19,31-05-19,150,0.410677618,641990.5544,1.067738451,0.065542814,VCS,Other,False,False,False,Large Scale,1,1
1890,Grid Connected Solar Energy Project,Apraava Energy Private Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,289503,Asia,08-05-19,07-08-17,06-08-27,1784173,08-07-17,31-08-23,2245,6.146475017,1779422.957,1.002669429,0.002665872,VCS,Other,False,False,False,Large Scale,1,0
1877,Thangarabalu Small Hydel Project at Karnataka,Kare Power Resources Private Limited. (KPRPL),Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,53983,Asia,12-03-21,16-09-15,15-09-25,58186,01-01-16,31-12-17,730,1.998631075,107892.1013,0.539298051,-0.61748689,VCS,Other,False,False,False,Large Scale,1,0
1878,"Bundled renewable energy project in Gujarat and Karnataka, India",Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,11842,Asia,20-03-19,08-03-18,07-03-28,41663,03-08-18,31-08-22,1489,4.076659822,48275.80561,0.863020295,-0.147317071,VCS,Other Renewable,False,False,True,Small Scale,0,0
1862,Bundled Wind Power Project in Gujarat and Tamil Nadu,Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,29987,Asia,23-02-21,,,118336,01-01-18,31-07-21,1307,3.578370979,107304.6105,1.102804431,0.097856418,VCS,Other Renewable,False,False,True,Small Scale,0,0
1163,Wind Power Project in Tirupur District,NSL WInd Power Company Phoolwadi Private Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,109306,Asia,06-04-20,,,831557,07-11-11,10-07-21,3533,9.672826831,1057298.01,0.786492543,-0.240172038,VCS,Other,False,False,False,Large Scale,1,0
1861,3.5MW Manuni Hydro Electric Project in Himanchal Pradesh by Winsome Textile Industries Ltd,Winsome Textile Industries Limited,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,17619,Asia,09-07-20,31-03-17,30-03-27,51723,01-01-20,31-12-21,730,1.998631075,35213.8809,1.468824187,0.384462208,VCS,Other Renewable,False,False,True,Small Scale,0,0
1210,Green Energy Project at Kutch by Powerica Limited,POWERICA LIMITED,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,53122,,06-04-20,,,455497,01-01-13,31-12-22,3651,9.995893224,531001.8398,0.857806821,-0.153376356,VCS,Other,False,False,False,Large Scale,1,0
1211,Green Energy Project at Gujarat by Powerica Limited,POWERICA LIMITED,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,61360,,04-08-14,,,560602,01-01-14,24-02-22,2976,8.147843943,499951.7043,1.121312309,0.114499704,VCS,Other,False,False,False,Large Scale,1,0
700,Wind power project at Tamilnadu by Powerica Limited,POWERICA LIMITED,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,32956,Asia,04-06-20,,,354701,01-01-10,30-06-23,4928,13.49212868,444646.5927,0.797714423,-0.226004612,VCS,Other,False,False,False,Large Scale,1,0
